Symbol,Name,数据类型,寄存器,地址,归档,量程,报警类型,报警,函数,函数参数,依赖,DriverID,IOType,GroupID,功能码,字节序
TP_跨度核查间隔,跨度核查间隔,USHORT,WORD,d:6;a:3;r:4235;l:1,TRUE,,NONE,,NONE,,,22,IN,10,,
TP_标样核查间隔,标样核查间隔,USHORT,WORD,d:6;a:3;r:4236;l:1,TRUE,,NONE,,NONE,,,22,IN,10,,
TP_消解池实时温度,消解池实时温度,FLOAT,WORD,d:6;a:3;r:4237;l:2,TRUE,,NONE,,NONE,,,22,IN,10,,1032
TP_混样池实时温度,混样池实时温度,FLOAT,WORD,d:6;a:3;r:4239;l:2,TRUE,,NONE,,NONE,,,22,IN,10,,1032
TP_板卡温度,板卡温度,FLOAT,WORD,d:6;a:3;r:4241;l:2,TRUE,,NONE,,NONE,,,22,IN,10,,1032
TP_测量精度,测量精度,USHORT,WORD,d:6;a:3;r:4256;l:1,TRUE,,NONE,,NONE,,,22,IN,100,,
TP_消解温度,消解温度,USHORT,WORD,d:6;a:3;r:4257;l:1,TRUE,,NONE,,NONE,,,22,IN,100,,
TP_消解时长,消解时长,USHORT,WORD,d:6;a:3;r:4258;l:1,TRUE,,NONE,,NONE,,,22,IN,100,,
TP_量程下限,量程下限,FLOAT,WORD,d:6;a:3;r:4259;l:2,TRUE,,NONE,,NONE,,,22,IN,100,,1032
TP_量程上限,量程上限,FLOAT,WORD,d:6;a:3;r:4261;l:2,TRUE,,NONE,,NONE,,,22,IN,100,,1032
TP_曲线斜率k,曲线斜率k,FLOAT,WORD,d:6;a:3;r:4263;l:2,TRUE,,NONE,,NONE,,,22,IN,100,,1032
TP_曲线截距b,曲线截距b,FLOAT,WORD,d:6;a:3;r:4265;l:2,TRUE,,NONE,,NONE,,,22,IN,100,,1032
TP_标定日期,标定日期,WDATE,WORD,d:6;a:3;r:4267;l:3,TRUE,,NONE,,NONE,,,22,IN,100,,
TP_标液一浓度,标液一浓度,FLOAT,WORD,d:6;a:3;r:4270;l:2,TRUE,,NONE,,NONE,,,22,IN,100,,1032
TP_标液一测量过程值,标液一测量过程值,FLOAT,WORD,d:6;a:3;r:4272;l:2,TRUE,,NONE,,NONE,,,22,IN,100,,1032
TP_标液二浓度,标液二浓度,FLOAT,WORD,d:6;a:3;r:4274;l:2,TRUE,,NONE,,NONE,,,22,IN,100,,1032
TP_标液二测量过程值,标液二测量过程值,FLOAT,WORD,d:6;a:3;r:4276;l:2,TRUE,,NONE,,NONE,,,22,IN,100,,1032
TP_标液三浓度,标液三浓度,FLOAT,WORD,d:6;a:3;r:4278;l:2,TRUE,,NONE,,NONE,,,22,IN,100,,1032
TP_标液三测量过程值,标液三测量过程值,FLOAT,WORD,d:6;a:3;r:4280;l:2,TRUE,,NONE,,NONE,,,22,IN,100,,1032
TP_标液四浓度,标液四浓度,FLOAT,WORD,d:6;a:3;r:4282;l:2,TRUE,,NONE,,NONE,,,22,IN,100,,1032
TP_标液四测量过程值,标液四测量过程值,FLOAT,WORD,d:6;a:3;r:4284;l:2,TRUE,,NONE,,NONE,,,22,IN,100,,1032
TP_标液五浓度,标液五浓度,FLOAT,WORD,d:6;a:3;r:4286;l:2,TRUE,,NONE,,NONE,,,22,IN,100,,1032
TP_标液五测量过程值,标液五测量过程值,FLOAT,WORD,d:6;a:3;r:4288;l:2,TRUE,,NONE,,NONE,,,22,IN,100,,1032
TP_线性系数,线性系数,FLOAT,WORD,d:6;a:3;r:4290;l:2,TRUE,,NONE,,NONE,,,22,IN,100,,1032
TP_试剂余量,试剂余量,UINT,WORD,d:6;a:3;r:4292;l:2,TRUE,,NONE,,NONE,,,22,IN,100,,1032
TP_测量滴定值,测量滴定值,FLOAT,WORD,d:6;a:3;r:4294;l:2,TRUE,,NONE,,NONE,,,22,IN,100,,1032
TP_空白校准时间,空白校准时间,WDATE,WORD,d:6;a:3;r:4296;l:3,TRUE,,NONE,,NONE,,,22,IN,100,,
TP_标样校准时间,标样校准时间,WDATE,WORD,d:6;a:3;r:4299;l:3,TRUE,,NONE,,NONE,,,22,IN,100,,
TP_检出限,检出限,FLOAT,WORD,d:6;a:3;r:4302;l:2,TRUE,,NONE,,NONE,,,22,IN,100,,1032
TP_校准系数,校准系数,FLOAT,WORD,d:6;a:3;r:4304;l:2,TRUE,,NONE,,NONE,,,22,IN,100,,1032
TP_设备序列号,设备序列号,STRING,WORD,d:6;a:3;r:4306;l:6,TRUE,,NONE,,SerialNumber,,,22,IN,100,,
TP_二次多项式系数,二次多项式系数,FLOAT,WORD,d:6;a:3;r:4312;l:2,TRUE,,NONE,,NONE,,,22,IN,100,,1032
TP_空白标定过程值,空白标定过程值,FLOAT,WORD,d:6;a:3;r:4314;l:2,TRUE,,NONE,,NONE,,,22,IN,100,,1032
TP_空白校准过程值,空白校准过程值,FLOAT,WORD,d:6;a:3;r:4316;l:2,TRUE,,NONE,,NONE,,,22,IN,100,,1032
TP_标样校准参考值,标样校准参考值,FLOAT,WORD,d:6;a:3;r:4318;l:2,TRUE,,NONE,,NONE,,,22,IN,100,,1032
TP_标样校准过程值,标样校准过程值,FLOAT,WORD,d:6;a:3;r:4320;l:2,TRUE,,NONE,,NONE,,,22,IN,100,,1032
TP_显色温度,显色温度,USHORT,WORD,d:6;a:3;r:4322;l:1,TRUE,,NONE,,NONE,,,22,IN,100,,
TP_显色时间,显示时间,USHORT,WORD,d:6;a:3;r:4323;l:1,TRUE,,NONE,,NONE,,,22,IN,100,,
TP_控制命令,控制命令,USHORT,WORD,d:6;a:4;r:4608;l:1,FALSE,,NONE,,NONE,,,22,OUT,1000,,
TP_参数,参数,BYTES,WORD,d:6;a:4;r:4609;l:8,FALSE,,NONE,,NONE,,,22,OUT,1000,,
COD_因子编码,因子编码,UINT,WORD,d:4;a:3;r:4096;l:2,TRUE,,NONE,,NONE,,,19,IN,4,,1032
COD_单位,单位,USHORT,WORD,d:4;a:3;r:4098;l:1,TRUE,,NONE,,NONE,,,19,IN,4,,
